Type,Anal.,Sample Name,Sample ID,Treatment,Origin,Originc,Cal. Curve,Manual Dilution,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Mean Area,Conc.,Mean Conc.,Result,NPOC_ppm,TN_ppm,SD Area,SD Conc,Vial,Excluded,Inj. Vol.
Unknown,NPOC/TN,"EDTA 8,56ppmC","EDTA 8,56ppmC",Calib1_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 16:54,1,3,TN,"48,19","48,52","1,675","1,686",NPOC:8.184 TN:1.686,8.184,1.686,"0,3819","0,01290",7,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:00,1,1,NPOC,"145,1","143,7","9,946","9,856",NPOC:9.856 TN:0.08059,9.856,0.08059,"1,212","0,07741",8,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:04,1,2,NPOC,"143,0","143,7","9,812","9,856",NPOC:9.856 TN:0.08059,9.856,0.08059,"1,212","0,07741",8,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:08,1,3,NPOC,"143,0","143,7","9,812","9,856",NPOC:9.856 TN:0.08059,9.856,0.08059,"1,212","0,07741",8,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:00,1,1,TN,"0,8190","0,9960","0,07461","0,08059",NPOC:9.856 TN:0.08059,9.856,0.08059,"0,1671","0,00565",8,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:04,1,2,TN,"1,151","0,9960","0,08582","0,08059",NPOC:9.856 TN:0.08059,9.856,0.08059,"0,1671","0,00565",8,0,150
Unknown,NPOC/TN,"KHP9,90ppmC","KHP9,90ppmC",Calib2_C,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:08,1,3,TN,"1,018","0,9960","0,08133","0,08059",NPOC:9.856 TN:0.08059,9.856,0.08059,"0,1671","0,00565",8,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:14,1,1,NPOC,"15,61","14,40","1,678","1,601",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,3172","0,02025",9,1,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:17,1,2,NPOC,"14,69","14,40","1,620","1,601",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,3172","0,02025",9,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:20,1,3,NPOC,"14,44","14,40","1,604","1,601",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,3172","0,02025",9,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:24,1,4,NPOC,"14,06","14,40","1,579","1,601",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,3172","0,02025",9,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:14,1,1,TN,"0,4048","0,3585","0,06061","0,05905",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,07647","0,00258",9,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:17,1,2,TN,"0,2702","0,3585","0,05606","0,05905",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,07647","0,00258",9,0,150
Unknown,NPOC/TN,MQ,MQ,MQ,,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:20,1,3,TN,"0,4004","0,3585","0,06046","0,05905",NPOC:1.601 TN:0.05905,1.601,0.05905,"0,07647","0,00258",9,0,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:29,1,1,NPOC,"133,1","297,5","9,180","19,68",NPOC:19.68 TN:0.4583,19.68,0.4583,"0,6245","0,03987",10,1,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:33,1,2,NPOC,"298,0","297,5","19,71","19,68",NPOC:19.68 TN:0.4583,19.68,0.4583,"0,6245","0,03987",10,0,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:37,1,3,NPOC,"297,7","297,5","19,69","19,68",NPOC:19.68 TN:0.4583,19.68,0.4583,"0,6245","0,03987",10,0,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,C:\TOC-L\CalCurves\NPOC_2-50ppm_9ml_150ul_CB.2022_08_31_20_26_13.cal,"1,00",2022-09-09 17:41,1,4,NPOC,"296,8","297,5","19,63","19,68",NPOC:19.68 TN:0.4583,19.68,0.4583,"0,6245","0,03987",10,0,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:29,1,1,TN,"6,677","12,18","0,2725","0,4583",NPOC:19.68 TN:0.4583,19.68,0.4583,"4,762","0,1609",10,0,150
Unknown,NPOC/TN,3,MI2_Con1,Con,C,C:\TOC-L\Methods\NPOC-TN_9ml_CB_150ulinj_220831.met,"C:\TOC-L\CalCurves\TN_0,2-5ppm_9ml_150ul_CB.2022_08_31_21_55_41.cal","1,00",2022-09-09 17:33,1,2,TN,"14,96","12,18","0,5524","0,4583",NPOC:19.68 TN:0.4583,19.68,0.4583,"4,762","0,1609",10,0,150
